cum_budget,optimizer,budget,performance,seed
29100000,Random Search,,-1811.1979599999995,0.0
29200000,Random Search,,-1811.1979599999995,0.0
29300000,Random Search,,-1811.1979599999995,0.0
29400000,Random Search,,-1811.1979599999995,0.0
29500000,Random Search,,-1811.1979599999995,0.0
29600000,Random Search,,-1811.1979599999995,0.0
29700000,Random Search,,-1811.1979599999995,0.0
29800000,Random Search,,-1811.1979599999995,0.0
29900000,Random Search,,-1811.1979599999995,0.0
30000000,Random Search,10000000.0,-2032.87758,0.0
30100000,Random Search,,-2032.87758,0.0
30200000,Random Search,,-2032.87758,0.0
30300000,Random Search,,-2032.87758,0.0
30400000,Random Search,,-2032.87758,0.0
30500000,Random Search,,-2032.87758,0.0
30600000,Random Search,,-2032.87758,0.0
30700000,Random Search,,-2032.87758,0.0
30800000,Random Search,,-2032.87758,0.0
30900000,Random Search,,-2032.87758,0.0
31000000,Random Search,,-2032.87758,0.0
31100000,Random Search,,-2032.87758,0.0
31200000,Random Search,,-2032.87758,0.0
31300000,Random Search,,-2032.87758,0.0
31400000,Random Search,,-2032.87758,0.0
31500000,Random Search,,-2032.87758,0.0
31600000,Random Search,,-2032.87758,0.0
31700000,Random Search,,-2032.87758,0.0
31800000,Random Search,,-2032.87758,0.0
31900000,Random Search,,-2032.87758,0.0
32000000,Random Search,,-2032.87758,0.0
32100000,Random Search,,-2032.87758,0.0
32200000,Random Search,,-2032.87758,0.0
32300000,Random Search,,-2032.87758,0.0
32400000,Random Search,,-2032.87758,0.0
32500000,Random Search,,-2032.87758,0.0
32600000,Random Search,,-2032.87758,0.0
32700000,Random Search,,-2032.87758,0.0
32800000,Random Search,,-2032.87758,0.0
32900000,Random Search,,-2032.87758,0.0
33000000,Random Search,,-2032.87758,0.0
33100000,Random Search,,-2032.87758,0.0
33200000,Random Search,,-2032.87758,0.0
33300000,Random Search,,-2032.87758,0.0
33400000,Random Search,,-2032.87758,0.0
33500000,Random Search,,-2032.87758,0.0
33600000,Random Search,,-2032.87758,0.0
33700000,Random Search,,-2032.87758,0.0
33800000,Random Search,,-2032.87758,0.0
33900000,Random Search,,-2032.87758,0.0
34000000,Random Search,,-2032.87758,0.0
34100000,Random Search,,-2032.87758,0.0
34200000,Random Search,,-2032.87758,0.0
34300000,Random Search,,-2032.87758,0.0
34400000,Random Search,,-2032.87758,0.0
34500000,Random Search,,-2032.87758,0.0
34600000,Random Search,,-2032.87758,0.0
34700000,Random Search,,-2032.87758,0.0
34800000,Random Search,,-2032.87758,0.0
34900000,Random Search,,-2032.87758,0.0
35000000,Random Search,,-2032.87758,0.0
35100000,Random Search,,-2032.87758,0.0
35200000,Random Search,,-2032.87758,0.0
35300000,Random Search,,-2032.87758,0.0
35400000,Random Search,,-2032.87758,0.0
35500000,Random Search,,-2032.87758,0.0
35600000,Random Search,,-2032.87758,0.0
35700000,Random Search,,-2032.87758,0.0
35800000,Random Search,,-2032.87758,0.0
35900000,Random Search,,-2032.87758,0.0
36000000,Random Search,,-2032.87758,0.0
36100000,Random Search,,-2032.87758,0.0
36200000,Random Search,,-2032.87758,0.0
36300000,Random Search,,-2032.87758,0.0
36400000,Random Search,,-2032.87758,0.0
36500000,Random Search,,-2032.87758,0.0
36600000,Random Search,,-2032.87758,0.0
36700000,Random Search,,-2032.87758,0.0
36800000,Random Search,,-2032.87758,0.0
36900000,Random Search,,-2032.87758,0.0
37000000,Random Search,,-2032.87758,0.0
37100000,Random Search,,-2032.87758,0.0
37200000,Random Search,,-2032.87758,0.0
37300000,Random Search,,-2032.87758,0.0
37400000,Random Search,,-2032.87758,0.0
37500000,Random Search,,-2032.87758,0.0
37600000,Random Search,,-2032.87758,0.0
37700000,Random Search,,-2032.87758,0.0
37800000,Random Search,,-2032.87758,0.0
37900000,Random Search,,-2032.87758,0.0
38000000,Random Search,,-2032.87758,0.0
38100000,Random Search,,-2032.87758,0.0
38200000,Random Search,,-2032.87758,0.0
